country,location_name,dedication,contract_type,satisfaction_with_income,looking_for_job,job_title,years_of_experience,seniority_in_company,time_in_position,work_modality,state,career,university,age,gender_identity,seniority,annual_base_pay
Argentina,Jujuy,Full-Time,Contract,2,"No, but I am open to offers.",SysAdmin / DevOps / SRE,5.0,1.0,1.0,100% remoto,Completed,Ingeniería en Computación,Escuela Da Vinci,38,Male,Semi-Senior,14313.599999999999
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, I am very satisfied.",HelpDesk,7.0,2.0,2.0,Hybrid (in-person and remote),,,,30,Male,Senior,5880.0
Argentina,Entre Ríos,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,2.0,0.0,0.0,100% remoto,Completed,Analista de Sistemas,,27,Hombre,Junior,5523.84
Argentina,Córdoba,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Product Manager,5.0,2.0,2.0,100% remoto,Completed,Licenciatura en Marketing,ISSD - Instituto Superior Santo Domingo,33,Male,Semi-Senior,10852.8
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Recruiter / HR,2.0,1.0,1.0,100% remoto,Completed,Licenciatura en Recursos Humanos,UM - Universidad de Morón,28,Female,Junior,5376.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Architect,18.0,0.0,8.0,Hybrid (in-person and remote),,,,38,Male,Senior,31920.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,2.0,1.5,1.5,Hybrid (in-person and remote),In progress,Analista de Sistemas,Escuela Da Vinci,28,Male,Junior,14952.0
Argentina,Córdoba,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Infosec,10.0,1.0,0.0,100% remoto,Incomplete,Ingeniería en Sistemas de Información,IUA - Instituto Universitario Aeronáutico,38,Male,Senior,15187.199999999999
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, but I am open to offers.",BI Analyst / Data Analyst,6.0,0.0,4.0,100% remoto,,,,31,Female,Senior,12499.199999999999
Argentina,Buenos Aires,Full-Time,Contract,2,"Yes, I am actively looking.",Developer,1.0,1.0,1.0,100% remoto,,,,28,Male,Junior,4032.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),1,"Yes, I am actively looking.",Developer,6.0,3.0,3.0,Hybrid (in-person and remote),Completed,Tecnicatura Superior en Programación,UNSAM - Universidad de San Martín,34,Male,Senior,3483.7151999999996
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",SysAdmin / DevOps / SRE,8.0,2.0,2.0,100% remoto,,,,29,Male,Senior,39580.8
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"Yes, I am actively looking.",Project Manager,4.0,1.0,1.0,100% remoto,In progress,Licenciatura en Comunicación,UBA - Universidad de Buenos Aires,38,Female,Semi-Senior,7748.16
Argentina,Buenos Aires City,Full-Time,Remote (foreign company),3,"No, but I am open to offers.",Recruiter / HR,3.0,0.0,0.0,100% remoto,,,,26,Female,Semi-Senior,19353.6
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,2.0,1.0,1.0,100% remoto,Incomplete,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,37,Male,Junior,20160.0
Argentina,Buenos Aires,Full-Time,Contract,2,"No, but I am open to offers.",BI Analyst / Data Analyst,1.0,1.0,1.0,100% remoto,,,,34,Female,Junior,6429.498095999999
Argentina,Córdoba,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,0.0,0.0,0.0,100% remoto,,,,32,Male,Junior,11760.0
Argentina,Tierra del Fuego,Full-Time,Remote (foreign company),3,"No, but I am open to offers.",Developer,15.0,2.0,2.0,100% remoto,,,,36,Male,Senior,31584.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,2.0,0.0,0.0,Hybrid (in-person and remote),Completed,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,34,Male,Junior,34023.6288
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Technical Leader,7.0,7.0,4.0,Hybrid (in-person and remote),,,,32,Male,Senior,10604.16
Argentina,Córdoba,Part-Time,Remote (foreign company),3,"No, but I am open to offers.",Developer,0.0,0.0,0.0,100% remoto,In progress,Licenciatura en Ciencias de la Computación,UNC - Universidad Nacional de Córdoba,21,Male,Junior,7156.799999999999
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Developer,1.0,1.0,1.0,100% remoto,Incomplete,Analista de Sistemas,,26,Male,Junior,10752.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,3.0,2.0,0.0,100% remoto,In progress,Ingeniería en Informática,UBA - Universidad de Buenos Aires,28,Female,Semi-Senior,13675.199999999999
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Networking,7.0,0.0,0.0,Hybrid (in-person and remote),,,,36,Male,Senior,33600.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",BI Analyst / Data Analyst,4.0,0.6,0.6,100% remoto,,,,38,Bigénero,Semi-Senior,10503.0912
Argentina,Buenos Aires City,Full-Time,Remote (foreign company),3,"No, but I am open to offers.",Head of Data & Analytics,6.0,0.0,1.0,100% remoto,,,,32,Male,Senior,53760.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Data Scientist,10.0,5.0,5.0,Hybrid (in-person and remote),Completed,Sistemas de Información,UBA - Universidad de Buenos Aires,37,Male,Senior,33600.0
Argentina,Santa Fe,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,2.0,11.0,2.0,Hybrid (in-person and remote),,,,34,Female,Junior,11860.8
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Project Manager,10.0,6.0,6.0,100% remoto,Incomplete,Licenciatura en Administración de Empresas,UBA - Universidad de Buenos Aires,45,Male,Senior,15254.400000000001
Argentina,Santa Fe,Full-Time,Staff (permanent),2,"Yes, I am actively looking.",Business Analyst,2.0,0.0,0.0,100% remoto,,,,29,Male,Junior,8285.76
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, I am very satisfied.",Data Engineer,3.0,1.0,1.0,Hybrid (in-person and remote),In progress,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,25,Female,Semi-Senior,9508.8
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",UX Designer,2.0,2.0,2.0,100% remoto,,,,39,Male,Junior,15355.199999999999
Argentina,Buenos Aires,Full-Time,Staff (permanent),1,"Yes, I am actively looking.",Consultant,0.0,0.0,0.0,100% remoto,,,,45,Female,Junior,3360.0
Argentina,Buenos Aires City,Full-Time,Contract,3,"No, but I am open to offers.",UX Designer,5.0,1.5,1.5,100% remoto,Completed,Diseño Gráfico,UBA - Universidad de Buenos Aires,34,Male,Semi-Senior,8971.2
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,3.0,1.0,2.0,100% remoto,,,,28,Male,Semi-Senior,9072.0
